V_(n),V_(n-1),I_(n),V_(n)',V_(n-1)',I_(n)'
-6109767.213992,-6117019.240587,39080.816234,-68.014880,-68.026460,-0.049560
-6108203.370414,-6115453.542606,39070.815177,-67.995640,-68.014880,-0.046840
-6106683.379905,-6113931.718033,39061.094919,-68.010470,-67.995640,-0.044280
-6104767.529533,-6112013.612585,39048.843559,-68.005410,-68.010470,-0.043080
-6102777.640085,-6110021.386629,39036.119377,-67.974200,-68.005410,-0.040930
-6099776.022478,-6107016.215090,39016.925310,-67.934400,-67.974200,-0.035510
-6096020.708500,-6103256.435861,38992.912170,-67.900860,-67.934400,-0.026440
-6092190.387856,-6099421.559819,38968.420743,-67.879690,-67.900860,-0.016270
-6088092.395414,-6095318.729377,38942.218032,-67.830580,-67.879690,-0.007090
-6083419.810815,-6090640.598542,38912.339562,-67.779690,-67.830580,0.002210
-6077398.406150,-6084612.032407,38873.833294,-67.746650,-67.779690,0.012050
-6070725.249013,-6077930.974523,38831.158737,-67.690460,-67.746650,0.022120
-6063871.763745,-6071069.374219,38787.330602,-67.618340,-67.690460,0.032380
-6056091.182928,-6063279.593799,38737.572946,-67.507090,-67.618340,0.042200
-6047868.480766,-6055047.110565,38684.986357,-67.416150,-67.507090,0.052940
-6039778.050593,-6046947.055524,38633.246210,-67.351870,-67.416150,0.062580
-6032001.147141,-6039160.948256,38583.511375,-67.257660,-67.351870,0.071850
-6024103.493920,-6031253.911945,38533.003854,-67.170340,-67.257660,0.081070
-6015465.333467,-6022605.477480,38477.759585,-67.108500,-67.170340,0.091250
-6006471.578558,-6013601.073105,38420.240685,-67.017780,-67.108500,0.102130
-5996907.156575,-6004025.309386,38359.071672,-66.917480,-67.017780,0.111080
-5986473.363313,-5993579.144870,38292.340591,-66.803380,-66.917480,0.118980
-5975675.065898,-5982768.036454,38223.278032,-66.683610,-66.803380,0.125980
-5964686.755024,-5971766.687453,38152.999900,-66.559280,-66.683610,0.134390
-5953367.591347,-5960434.086206,38080.606319,-66.436990,-66.559280,0.143240
-5941372.543614,-5948424.792522,38003.889884,-66.322860,-66.436990,0.152680
-5929560.370073,-5936598.597277,37928.343111,-66.210150,-66.322860,0.162880
-5918377.972868,-5925402.951545,37856.825281,-66.075740,-66.210150,0.172840
-5907386.985865,-5914398.942756,37786.531197,-65.912370,-66.075740,0.183060
-5895856.761356,-5902854.984496,37712.787170,-65.798540,-65.912370,0.191250
-5884146.246353,-5891130.537541,37637.889004,-65.718310,-65.798540,0.198520
-5873014.086959,-5879985.189010,37566.690079,-65.614980,-65.718310,0.206110
-5861550.721300,-5868508.260476,37493.373450,-65.465390,-65.614980,0.213440
-5849099.127441,-5856041.883991,37413.735577,-65.318340,-65.465390,0.221820
-5835817.674049,-5842744.646730,37328.789849,-65.193050,-65.318340,0.230800
-5822862.815162,-5829774.418752,37245.933607,-65.058740,-65.193050,0.240030
-5810398.551901,-5817295.374181,37166.215398,-64.913030,-65.058740,0.249440
-5798265.396266,-5805147.826418,37088.614970,-64.754720,-64.913030,0.257980
-5785554.562228,-5792421.877376,37007.318802,-64.627320,-64.754720,0.266140
-5772008.493273,-5778859.713476,36920.679300,-64.512540,-64.627320,0.274470
-5758418.540950,-5765253.625843,36833.759322,-64.407820,-64.512540,0.281520
-5744524.291145,-5751342.950970,36744.892943,-64.234420,-64.407820,0.288680
-5730942.886523,-5737745.451028,36658.028115,-64.031360,-64.234420,0.295790
-5717222.877704,-5724009.120484,36570.276585,-63.871590,-64.031360,0.304060
-5703146.713133,-5709916.230744,36480.247190,-63.723260,-63.871590,0.313070
-5689678.038621,-5696431.517059,36394.103377,-63.629950,-63.723260,0.321530
-5676040.214079,-5682777.531485,36306.877440,-63.516170,-63.629950,0.329610
-5661974.704626,-5668695.399389,36216.916396,-63.319120,-63.516170,0.337090
-5646854.263982,-5653556.983144,36120.206570,-63.157230,-63.319120,0.344740
-5630902.468442,-5637586.262662,36018.179665,-62.984920,-63.157230,0.352240
-5615396.079927,-5622061.471011,35919.001455,-62.809270,-62.984920,0.361130
-5599983.795782,-5606630.884077,35820.425563,-62.644050,-62.809270,0.369360
-5584322.699388,-5590951.202242,35720.257766,-62.475490,-62.644050,0.376810
-5568618.378228,-5575228.237594,35619.813079,-62.307260,-62.475490,0.384130
-5552955.185796,-5559546.445224,35519.631153,-62.152480,-62.307260,0.391700
-5537171.727788,-5543744.284409,35418.680382,-61.962370,-62.152480,0.398830
-5521453.537370,-5528007.426399,35318.146665,-61.783060,-61.962370,0.405690
-5505380.410207,-5511915.208117,35215.342667,-61.619790,-61.783060,0.412350
-5489859.210112,-5496375.594072,35116.069194,-61.443850,-61.619790,0.419670
-5474006.482701,-5480504.042745,35014.675493,-61.279710,-61.443850,0.427380
-5458020.170119,-5464498.762502,34912.427291,-61.101840,-61.279710,0.435320
-5441889.671343,-5448349.101518,34809.256913,-60.948550,-61.101840,0.443050
-5425947.552965,-5432388.098832,34707.291096,-60.748590,-60.948550,0.451320
-5409999.640859,-5416421.237560,34605.288457,-60.575040,-60.748590,0.458050
-5394127.346903,-5400530.109243,34503.768393,-60.390140,-60.575040,0.464670
-5378879.051141,-5385263.690447,34406.240061,-60.235640,-60.390140,0.470140
-5363455.802170,-5369822.150709,34307.592246,-60.059880,-60.235640,0.477680
-5348348.008580,-5354696.402677,34210.962557,-59.908310,-60.059880,0.484630
-5332133.157203,-5338462.313555,34107.251906,-59.751150,-59.908310,0.490760
-5315566.648876,-5321876.162458,34001.291108,-59.565390,-59.751150,0.498050
-5297840.287704,-5304128.749296,33887.911859,-59.401750,-59.565390,0.504280
-5279590.041970,-5285856.894393,33771.181492,-59.174570,-59.401750,0.511090
-5261847.237582,-5268093.012903,33657.696849,-58.972860,-59.174570,0.517260
-5244454.717137,-5250679.869389,33546.453144,-58.745310,-58.972860,0.523130
-5227562.120516,-5233767.188354,33438.406528,-58.552550,-58.745310,0.530110
-5210223.478663,-5216407.924590,33327.506848,-58.400800,-58.552550,0.537050
-5193237.680801,-5199401.957025,33218.863647,-58.260500,-58.400800,0.543590
-5176289.881328,-5182434.095324,33110.463863,-58.065240,-58.260500,0.548960
-5159254.243754,-5165378.269705,33001.501823,-57.834080,-58.065240,0.553850
-5141748.909482,-5147852.135171,32889.535643,-57.628710,-57.834080,0.558500
-5124394.357674,-5130476.965391,32778.533743,-57.439490,-57.628710,0.565020
