file_N:23,train,seed:None,percent:5275,measured,n:3,N:4
t,I,V,V'
1060.38,-0.04207,-60.6982,-60.71422
1060.39,-0.04231,-60.71422,-60.7392
1060.4,-0.04267,-60.7392,-60.76505
1060.41,-0.04305,-60.76505,-60.76014
1060.42,-0.04314,-60.76014,-60.7523
1060.43,-0.04321,-60.7523,-60.74341
1060.44,-0.04289,-60.74341,-60.73443
1060.45,-0.04254,-60.73443,-60.72082
1060.46,-0.04235,-60.72082,-60.70677
1060.47,-0.04217,-60.70677,-60.69932
1060.48,-0.04221,-60.69932,-60.6925
1060.49,-0.04227,-60.6925,-60.68678
1060.5,-0.04187,-60.68678,-60.68116
1060.51,-0.04143,-60.68116,-60.68379
1060.52,-0.04085,-60.68379,-60.68721
1060.53,-0.04025,-60.68721,-60.69165
1060.54,-0.04008,-60.69165,-60.69619
1060.55,-0.03995,-60.69619,-60.70785
1060.56,-0.03978,-60.70785,-60.72018
1060.57,-0.03961,-60.72018,-60.7267
1060.58,-0.03956,-60.7267,-60.73266
1060.59,-0.03953,-60.73266,-60.74263
1060.6,-0.03976,-60.74263,-60.75299
1060.6100000000001,-0.04002,-60.75299,-60.74601
1060.6200000000001,-0.04078,-60.74601,-60.73737
1060.63,-0.04159,-60.73737,-60.72348
1060.64,-0.04268,-60.72348,-60.70908
1060.65,-0.0438,-60.70908,-60.69924
1060.66,-0.04435,-60.69924,-60.68985
1060.67,-0.04485,-60.68985,-60.69082
1060.68,-0.0451,-60.69082,-60.69278
1060.69,-0.04533,-60.69278,-60.67876
1060.7,-0.04518,-60.67876,-60.66321
1060.71,-0.04498,-60.66321,-60.66754
1060.72,-0.04435,-60.66754,-60.67378
1060.73,-0.04366,-60.67378,-60.66642
1060.74,-0.04305,-60.66642,-60.65775
1060.75,-0.04244,-60.65775,-60.6435
1060.76,-0.04196,-60.6435,-60.62872
1060.77,-0.04149,-60.62872,-60.62663
1060.78,-0.04117,-60.62663,-60.62576
1060.79,-0.04087,-60.62576,-60.63204
1060.8,-0.04077,-60.63204,-60.63901
1060.81,-0.04069,-60.63901,-60.65394
1060.82,-0.0408,-60.65394,-60.66965
1060.83,-0.04094,-60.66965,-60.69042
1060.84,-0.04125,-60.69042,-60.71167
1060.85,-0.04158,-60.71167,-60.70312
1060.8600000000001,-0.04174,-60.70312,-60.69171
1060.8700000000001,-0.04188,-60.69171,-60.69627
1060.88,-0.04188,-60.69627,-60.70236
1060.89,-0.04185,-60.70236,-60.69698
1060.9,-0.04215,-60.69698,-60.69049
1060.91,-0.04248,-60.69049,-60.6705
