file_N:27,train,seed:None,percent:5025,measured,n:0, N:4
t,I,V,V'
4.55,-0.04198,-59.02629,-0.04141
4.5600000000000005,-0.04141,-59.0113,-0.04103
4.57,-0.04103,-59.01794,-0.04068
4.58,-0.04068,-59.02924,-0.04062
4.59,-0.04062,-59.04207,-0.04062
4.6000000000000005,-0.04062,-59.05523,-0.04084
4.61,-0.04084,-59.06919,-0.0411
4.62,-0.0411,-59.08333,-0.04139
4.63,-0.04139,-59.0806,-0.04168
4.64,-0.04168,-59.07424,-0.04198
4.65,-0.04198,-59.06058,-0.04228
4.66,-0.04228,-59.04536,-0.04276
4.67,-0.04276,-59.04236,-0.04327
4.68,-0.04327,-59.042,-0.04325
4.69,-0.04325,-59.03668,-0.04312
4.7,-0.04312,-59.03029,-0.04273
4.71,-0.04273,-59.02075,-0.04228
4.72,-0.04228,-59.01055,-0.04224
4.73,-0.04224,-59.01404,-0.04228
4.74,-0.04228,-59.02048,-0.04213
4.75,-0.04213,-59.02669,-0.04192
4.76,-0.04192,-59.03285,-0.04185
4.7700000000000005,-0.04185,-59.03648,-0.04181
4.78,-0.04181,-59.03957,-0.04211
4.79,-0.04211,-59.03538,-0.04248
4.8,-0.04248,-59.02961,-0.04286
4.8100000000000005,-0.04286,-59.02547,-0.04324
4.82,-0.04324,-59.02167,-0.04343
4.83,-0.04343,-59.01684,-0.04358
4.84,-0.04358,-59.01178,-0.0433
4.8500000000000005,-0.0433,-59.00058,-0.04293
4.86,-0.04293,-58.98804,-0.04295
4.87,-0.04295,-58.96926,-0.04305
4.88,-0.04305,-58.94913,-0.04322
4.89,-0.04322,-58.94121,-0.04341
4.9,-0.04341,-58.93593,-0.04297
4.91,-0.04297,-58.93547,-0.04239
4.92,-0.04239,-58.93605,-0.04163
4.93,-0.04163,-58.93067,-0.04083
4.94,-0.04083,-58.92402,-0.04102
4.95,-0.04102,-58.92039,-0.04143
4.96,-0.04143,-58.91742,-0.04162
4.97,-0.04162,-58.91649,-0.04177
4.98,-0.04177,-58.91599,-0.04171
4.99,-0.04171,-58.9206,-0.04162
5.0,-0.04162,-58.92632,-0.04116
5.01,-0.04116,-58.93399,-0.04063
5.0200000000000005,-0.04063,-58.94208,-0.04064
5.03,-0.04064,-58.94335,-0.04077
5.04,-0.04077,-58.94315,-0.04091
5.05,-0.04091,-58.94646,-0.04104
5.0600000000000005,-0.04104,-58.95052,-0.04074
5.07,-0.04074,-58.95017,-0.04035
5.08,-0.04035,-58.94886,-0.04019
5.09,-0.04019,-58.93349,-0.04008
5.1000000000000005,-0.04008,-58.91507,-0.04053
5.11,-0.04053,-58.91742,-0.0411
5.12,-0.0411,-58.92424,-0.04106
5.13,-0.04106,-58.91868,-0.0409
5.14,-0.0409,-58.91046,-0.04102
5.15,-0.04102,-58.90996,-0.04119
5.16,-0.04119,-58.91114,-0.04129
5.17,-0.04129,-58.91215,-0.04136
5.18,-0.04136,-58.91312,-0.0415
5.19,-0.0415,-58.90933,-0.04165
5.2,-0.04165,-58.9045,-0.04205
5.21,-0.04205,-58.89923,-0.0425
5.22,-0.0425,-58.89387,-0.04267
5.23,-0.04267,-58.8894,-0.04278
5.24,-0.04278,-58.88512,-0.04294
5.25,-0.04294,-58.8751,-0.04311
5.26,-0.04311,-58.86383,-0.04305
5.2700000000000005,-0.04305,-58.87123,-0.04293
